Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
N/A,47157002900,Shelby County,Tennessee,2017,50.0,42.0,58.0,56.0,48.0,63.0,55.0,2.1,2.4,41.0,-0.4,-16.0,44.0,4.1,3.4,45.0,71.2,69.9,64.0,82.9,87.1,99.0,57.6,87.1,60.0,51.0,68.0,60.0,5.9,9.8,64.0,N/A,N/A,30.0,5.7,-11.0,76.0,4.0,6.2,85.0,59.0,90.0,42.0,20.1,18.6,34.0,26.0,42.0,37.0,3.3,-6.8,16.0,N/A,N/A,45.0,86.3,84.7,8.0,41.3,51.5,64.0,25.5,31.1,50.0,91.2,91.2
N/A,47157002900,Shelby County,Tennessee,2018,55.0,53.0,57.0,57.0,50.0,64.0,62.0,2.1,4.2,37.0,5.4,-18.7,44.0,4.1,3.4,47.0,72.0,71.2,64.0,82.9,87.1,99.0,57.0,87.2,62.0,57.0,67.0,60.0,5.9,9.8,36.0,N/A,N/A,76.0,1.6,26.0,76.0,4.0,6.2,83.0,60.0,89.0,42.0,20.1,18.6,46.0,52.0,41.0,78.0,5.7,12.4,27.0,N/A,N/A,49.0,86.6,86.4,3.0,41.5,55.5,70.0,25.5,33.6,43.0,92.3,91.1
N/A,47157002900,Shelby County,Tennessee,2019,58.0,56.0,59.0,56.0,48.0,65.0,55.0,1.8,2.0,42.0,16.5,-3.8,44.0,4.1,3.4,50.0,72.5,72.6,66.0,83.9,88.3,99.0,56.5,87.5,60.0,51.0,69.0,63.0,13.7,19.4,62.0,N/A,N/A,29.0,8.6,-7.6,76.0,4.0,6.2,88.0,60.0,92.0,42.0,20.1,18.6,55.0,68.0,42.0,94.0,9.2,38.4,41.0,N/A,N/A,48.0,87.0,86.3,1.0,41.6,58.5,77.0,25.3,37.2,44.0,93.3,92.5
N/A,47157002900,Shelby County,Tennessee,2020,61.0,61.0,61.0,62.0,56.0,68.0,54.0,1.5,1.4,57.0,25.2,21.1,44.0,4.1,3.4,61.0,72.8,75.2,67.0,84.9,89.3,99.0,55.8,87.2,60.0,48.0,72.0,45.0,7.4,3.8,50.0,N/A,N/A,49.0,8.1,7.1,88.0,3.4,7.2,90.0,61.0,94.0,37.0,20.6,18.0,61.0,80.0,42.0,94.0,12.2,41.0,67.0,N/A,N/A,49.0,87.5,87.2,1.0,41.6,58.6,71.0,25.4,34.2,46.0,94.2,93.7
N/A,47157002900,Shelby County,Tennessee,2021,62.0,61.0,64.0,69.0,66.0,72.0,52.0,-0.0,-0.6,79.0,25.7,58.5,44.0,4.1,3.4,70.0,73.3,78.4,75.0,89.1,94.1,99.0,55.6,87.4,60.0,48.0,72.0,36.0,5.3,-1.2,42.0,N/A,N/A,66.0,7.1,22.0,91.0,5.0,12.2,89.0,59.0,92.0,37.0,20.6,18.0,59.0,70.0,48.0,93.0,13.8,43.7,48.0,N/A,N/A,72.0,88.8,93.5,4.0,41.3,54.9,46.0,27.5,25.8,69.0,95.0,96.9
N/A,47157002900,Shelby County,Tennessee,2022,63.0,61.0,65.0,64.0,56.0,72.0,47.0,-0.3,-2.5,64.0,31.6,36.0,44.0,4.1,3.4,68.0,72.9,77.5,78.0,90.6,95.4,99.0,56.3,88.2,61.0,50.0,72.0,69.0,-15.0,-4.9,56.0,N/A,N/A,25.0,17.9,-6.3,83.0,5.1,10.3,96.0,60.0,97.0,36.0,21.1,18.3,64.0,76.0,51.0,89.0,14.5,33.5,63.0,N/A,N/A,58.0,88.8,90.8,8.0,41.3,51.9,62.0,27.4,32.9,77.0,94.9,97.7
N/A,47157002900,Shelby County,Tennessee,2023,64.0,59.0,69.0,66.0,55.0,76.0,38.0,-0.5,-7.3,72.0,48.8,68.8,44.0,4.1,3.4,75.0,72.2,78.6,88.0,91.7,97.5,99.0,56.7,88.5,63.5,55.5,72.0,58.0,21.2,25.6,69.0,N/A,N/A,39.0,0.0,-11.5,86.0,4.2,9.2,96.0,60.0,97.0,33.0,20.7,17.5,62.0,66.0,59.0,86.0,16.7,33.4,47.0,N/A,N/A,82.0,88.8,95.3,12.0,41.5,50.4,61.0,27.8,33.2,82.0,95.0,98.1
N/A,47157002900,Shelby County,Tennessee,2024,62.0,54.0,71.0,65.0,54.0,76.0,37.0,-0.3,-7.7,72.0,48.8,68.8,44.0,4.1,3.4,75.0,72.2,78.6,88.0,91.7,97.5,99.0,56.7,88.5,66.0,55.0,77.0,51.0,0.0,0.0,62.0,N/A,N/A,51.0,0.0,0.0,76.0,3.6,6.1,96.0,60.0,97.0,59.0,1.3,1.5,56.0,54.0,59.0,86.0,16.7,33.4,23.0,N/A,N/A,82.0,88.8,95.3,12.0,41.5,50.4,61.0,27.8,33.2,82.0,95.0,98.1
N/A,47157002900,Shelby County,Tennessee,2025,63.0,57.0,69.0,65.0,54.0,76.0,37.0,-0.3,-7.7,72.0,48.8,68.8,44.0,4.1,3.4,75.0,72.2,78.6,88.0,91.7,97.5,99.0,56.7,88.5,62.0,52.0,71.0,48.0,12.1,10.2,56.0,N/A,N/A,51.0,0.0,0.0,77.0,3.2,5.6,96.0,60.0,97.0,39.0,20.5,18.3,62.0,64.0,59.0,86.0,16.7,33.4,42.0,N/A,N/A,82.0,88.8,95.3,12.0,41.5,50.4,61.0,27.8,33.2,82.0,95.0,98.1
N/A,47157003200,Shelby County,Tennessee,2017,56.0,54.0,58.0,54.0,39.0,70.0,41.0,2.1,2.0,37.0,-0.4,-3.0,74.0,4.1,8.9,96.0,71.2,85.4,11.0,82.9,62.2,97.0,57.6,82.3,65.0,65.0,65.0,70.0,5.9,9.9,90.0,N/A,N/A,36.0,5.7,-5.3,47.0,4.0,3.8,72.0,59.0,80.0,75.0,20.1,25.5,48.0,58.0,38.0,62.0,3.3,8.6,54.0,N/A,N/A,10.0,86.3,60.3,26.0,41.3,45.4,75.0,25.5,36.6,41.0,91.2,89.6
N/A,47157003200,Shelby County,Tennessee,2018,55.0,51.0,59.0,59.0,48.0,70.0,68.0,2.1,12.7,29.0,5.4,-4.6,74.0,4.1,8.9,98.0,72.0,87.9,11.0,82.9,62.2,98.0,57.0,83.8,62.0,61.0,64.0,70.0,5.9,9.9,56.0,N/A,N/A,57.0,1.6,5.6,47.0,4.0,3.8,69.0,60.0,78.0,75.0,20.1,25.5,43.0,43.0,43.0,61.0,5.7,11.1,25.0,N/A,N/A,10.0,86.6,61.7,20.0,41.5,47.1,91.0,25.5,49.0,51.0,92.3,92.4
N/A,47157003200,Shelby County,Tennessee,2019,61.0,63.0,59.0,66.0,62.0,71.0,72.0,1.8,17.4,53.0,16.5,32.4,74.0,4.1,8.9,99.0,72.5,90.3,14.0,83.9,66.9,98.0,56.5,84.2,68.0,73.0,62.0,68.0,13.7,16.7,83.0,N/A,N/A,69.0,8.6,23.7,47.0,4.0,3.8,65.0,60.0,74.0,75.0,20.1,25.5,48.0,53.0,44.0,62.0,9.2,14.9,44.0,N/A,N/A,10.0,87.0,62.5,15.0,41.6,48.6,96.0,25.3,57.0,55.0,93.3,93.9
N/A,47157003200,Shelby County,Tennessee,2020,60.0,62.0,59.0,69.0,67.0,71.0,68.0,1.5,12.3,66.0,25.2,76.4,74.0,4.1,8.9,98.0,72.8,88.2,15.0,84.9,69.4,98.0,55.8,84.1,61.0,58.0,64.0,69.0,7.4,11.0,55.0,N/A,N/A,49.0,8.1,7.4,58.0,3.4,4.0,57.0,61.0,67.0,76.0,20.6,26.2,52.0,62.0,42.0,71.0,12.2,23.7,53.0,N/A,N/A,8.0,87.5,61.6,10.0,41.6,50.5,94.0,25.4,52.9,55.0,94.2,94.8
N/A,47157003200,Shelby County,Tennessee,2021,60.0,65.0,56.0,68.0,67.0,68.0,63.0,-0.0,7.7,71.0,25.7,128.6,74.0,4.1,8.9,85.0,73.3,82.4,12.0,89.1,75.0,99.0,55.6,88.1,68.0,66.0,69.0,70.0,5.3,8.4,55.0,N/A,N/A,73.0,7.1,31.7,77.0,5.0,8.2,46.0,59.0,55.0,85.0,20.6,29.3,46.0,62.0,31.0,69.0,13.8,24.6,54.0,N/A,N/A,11.0,88.8,68.3,9.0,41.3,51.7,58.0,27.5,31.2,47.0,95.0,94.6
N/A,47157003200,Shelby County,Tennessee,2022,54.0,58.0,49.0,58.0,54.0,61.0,38.0,-0.3,-1.3,69.0,31.6,115.1,74.0,4.1,8.9,59.0,72.9,75.2,15.0,90.6,79.5,97.0,56.3,83.9,60.0,54.0,67.0,56.0,-15.0,-17.8,52.0,N/A,N/A,54.0,17.9,21.1,72.0,5.1,7.8,39.0,60.0,48.0,91.0,21.1,33.0,42.0,66.0,18.0,73.0,14.5,30.3,58.0,N/A,N/A,10.0,88.8,67.4,14.0,41.3,49.3,,27.4,,31.0,94.9,92.4
N/A,47157003200,Shelby County,Tennessee,2023,50.0,55.0,45.0,51.0,50.0,52.0,34.0,-0.5,-3.2,65.0,48.8,114.1,74.0,4.1,8.9,21.0,72.2,63.1,16.0,91.7,82.2,98.0,56.7,85.5,64.0,67.0,62.0,74.0,21.2,31.1,60.0,N/A,N/A,67.0,0.0,6.5,56.0,4.2,4.7,39.0,60.0,48.0,92.0,20.7,33.0,34.0,48.0,21.0,57.0,16.7,21.6,39.0,N/A,N/A,11.0,88.8,69.5,29.0,41.5,45.4,,27.8,,22.0,95.0,90.3
N/A,47157003200,Shelby County,Tennessee,2024,44.0,45.0,44.0,50.0,48.0,52.0,32.0,-0.3,-3.8,65.0,48.8,114.1,74.0,4.1,8.9,21.0,72.2,63.1,16.0,91.7,82.2,98.0,56.7,85.5,52.0,44.0,60.0,37.0,0.0,-12.7,44.0,N/A,N/A,51.0,0.0,0.0,46.0,3.6,3.4,39.0,60.0,48.0,94.0,1.3,4.2,32.0,43.0,21.0,57.0,16.7,21.6,29.0,N/A,N/A,11.0,88.8,69.5,29.0,41.5,45.4,,27.8,,22.0,95.0,90.3
N/A,47157003200,Shelby County,Tennessee,2025,48.0,51.0,44.0,50.0,48.0,52.0,32.0,-0.3,-3.8,65.0,48.8,114.1,74.0,4.1,8.9,21.0,72.2,63.1,16.0,91.7,82.2,98.0,56.7,85.5,58.0,58.0,58.0,60.0,12.1,11.2,64.0,N/A,N/A,51.0,0.0,0.0,47.0,3.2,3.1,39.0,60.0,48.0,89.0,20.5,31.2,34.0,47.0,21.0,57.0,16.7,21.6,37.0,N/A,N/A,11.0,88.8,69.5,29.0,41.5,45.4,,27.8,,22.0,95.0,90.3
N/A,47157003500,Shelby County,Tennessee,2017,44.0,35.0,54.0,51.0,55.0,47.0,63.0,2.1,8.3,47.0,-0.4,-3.5,5.0,4.1,0.2,72.0,71.2,76.3,22.0,82.9,71.0,89.0,57.6,75.4,42.0,25.0,58.0,22.0,5.9,-3.4,35.0,N/A,N/A,17.0,5.7,-21.5,35.0,4.0,3.1,94.0,59.0,96.0,46.0,20.1,19.2,40.0,24.0,56.0,34.0,3.3,-9.0,14.0,N/A,N/A,89.0,86.3,95.9,12.0,41.3,49.3,77.0,25.5,37.3,46.0,91.2,90.5
N/A,47157003500,Shelby County,Tennessee,2018,45.0,36.0,54.0,43.0,38.0,48.0,31.0,2.1,-1.2,46.0,5.4,-0.1,5.0,4.1,0.2,76.0,72.0,78.1,22.0,82.9,71.0,89.0,57.0,74.7,48.0,39.0,58.0,22.0,5.9,-3.4,25.0,N/A,N/A,69.0,1.6,23.5,35.0,4.0,3.1,94.0,60.0,96.0,46.0,20.1,19.2,44.0,31.0,56.0,41.0,5.7,-2.3,21.0,N/A,N/A,80.0,86.6,94.1,11.0,41.5,50.0,90.0,25.5,47.4,45.0,92.3,91.6
N/A,47157003500,Shelby County,Tennessee,2019,42.0,30.0,53.0,40.0,32.0,49.0,18.0,1.8,-6.5,46.0,16.5,10.4,5.0,4.1,0.2,78.0,72.5,79.0,22.0,83.9,72.6,90.0,56.5,75.4,44.0,31.0,58.0,42.0,13.7,14.3,26.0,N/A,N/A,24.0,8.6,-7.9,35.0,4.0,3.1,94.0,60.0,96.0,46.0,20.1,19.2,39.0,26.0,52.0,37.0,9.2,-1.4,14.0,N/A,N/A,62.0,87.0,90.2,11.0,41.6,50.1,93.0,25.3,51.1,43.0,93.3,92.4
